4100,169.09,79027,4100,216.2,79810,4100,207.87,79722,4100,214.69,1.3076e+005,4100,268.38,1.3073e+005,4100,285.22,1.348e+005,4100,299.84,1.3647e+005,4100,297.16,1.4308e+005,4100,304.06,1.8908e+005,4100,353.7,2.2197e+005,4100,278.46,1.3384e+005
4200,169.59,81107,4200,216.71,81948,4200,208.41,81923,4200,215.64,1.347e+005,4200,269.3,1.3453e+005,4200,286.13,1.3858e+005,4200,300.75,1.4026e+005,4200,298.16,1.4725e+005,4200,305.47,1.949e+005,4200,355.23,2.283e+005,4200,279.37,1.376e+005
4300,170.08,83186,4300,217.21,84090,4300,208.92,84140,4300,216.57,1.3865e+005,4300,270.2,1.3834e+005,4300,287.02,1.4236e+005,4300,301.65,1.4406e+005,4300,299.15,1.5143e+005,4300,306.84,2.0074e+005,4300,356.72,2.3465e+005,4300,280.25,1.4137e+005
4400,170.56,85266,4400,217.71,86236,4400,209.44,86370,4400,217.48,1.4262e+005,4400,271.07,1.4216e+005,4400,287.89,1.4615e+005,4400,302.52,1.4786e+005,4400,300.11,1.5563e+005,4400,308.19,2.0659e+005,4400,358.18,2.41e+005,4400,276.93,1.4514e+005
4500,171.03,87341,4500,218.19,88391,4500,209.94,88617,4500,218.38,1.4662e+005,4500,271.93,1.4598e+005,4500,288.74,1.4993e+005,4500,303.38,1.5167e+005,4500,301.06,1.5983e+005,4500,309.5,2.1245e+005,4500,359.61,2.4737e+005,4500,281.97,1.4892e+005
4600,171.49,89420,4600,218.66,90546,4600,210.44,90881,4600,219.26,1.5062e+005,4600,272.78,1.4982e+005,4600,289.57,1.5372e+005,4600,304.21,1.5547e+005,4600,301.98,1.6405e+005,4600,310.79,2.1833e+005,4600,361.01,2.5373e+005,4600,282.8,1.527e+005
4700,171.93,91500,4700,219.13,92709,4700,210.93,92994,4700,220.13,1.5464e+005,4700,273.6,1.5366e+005,4700,290.39,1.5752e+005,4700,305.03,1.5928e+005,4700,302.89,1.6827e+005,4700,312.06,2.2422e+005,4700,362.38,2.6012e+005,4700,283.61,1.5648e+005
4800,172.37,93579,4800,219.58,94876,4800,211.42,95462,4800,220.98,1.5868e+005,4800,274.41,1.575e+005,4800,291.19,1.6132e+005,4800,305.84,1.631e+005,4800,303.78,1.725e+005,4800,313.3,2.3012e+005,4800,363.73,2.665e+005,4800,284.41,1.6027e+005
4900,172.8,95659,4900,220.03,97048,4900,211.89,97780,4900,221.81,1.6274e+005,4900,275.21,1.6136e+005,4900,291.98,1.6512e+005,4900,306.62,1.6692e+005,4900,304.65,1.7674e+005,4900,314.52,2.3603e+005,4900,365.05,2.7289e+005,4900,285.19,1.6406e+005
5000,173.22,97734,5000,220.48,99224,5000,212.37,1.0011e+005,5000,222.63,1.6681e+005,5000,275.99,1.6522e+005,5000,292.74,1.6893e+005,5000,307.4,1.7074e+005,5000,305.51,1.8099e+005,5000,315.72,2.4196e+005,5000,366.34,2.7929e+005,5000,285.96,1.6786e+005
5100,173.63,99814,5100,220.91,1.0141e+005,5100,212.83,1.0247e+005,5100,223.45,1.709e+005,5100,276.75,1.6909e+005,5100,293.5,1.7274e+005,5100,308.16,1.7456e+005,5100,306.36,1.8524e+005,5100,316.9,2.4789e+005,5100,367.61,2.857e+005,5100,286.71,1.7166e+005
5200,174.03,1.0189e+005,5200,221.33,1.036e+005,5200,213.29,1.0485e+005,5200,224.24,1.75e+005,5200,277.51,1.7297e+005,5200,294.24,1.7655e+005,5200,308.9,1.7838e+005,5200,307.18,1.895e+005,5200,318.05,2.5384e+005,5200,368.85,2.9212e+005,5200,287.45,1.7546e+005
5300,174.43,1.0397e+005,5300,221.75,1.0579e+005,5300,213.75,1.0724e+005,5300,225.03,1.7911e+005,5300,278.24,1.7685e+005,5300,294.96,1.8036e+005,5300,309.62,1.8221e+005,5300,308,1.9377e+005,5300,319.18,2.598e+005,5300,370.08,2.9855e+005,5300,288.17,1.7926e+005
5400,174.82,1.0605e+005,5400,222.16,1.0798e+005,5400,214.2,1.0966e+005,5400,225.8,1.8325e+005,5400,278.97,1.8074e+005,5400,295.68,1.8418e+005,5400,310.34,1.8604e+005,5400,308.79,1.9804e+005,5400,320.3,2.6577e+005,5400,371.28,3.0498e+005,5400,288.88,1.8307e+005
5500,175.2,1.0813e+005,5500,222.56,1.1019e+005,5500,214.65,1.121e+005,5500,226.56,1.8739e+005,5500,279.69,1.8463e+005,5500,296.38,1.88e+005,5500,311.05,1.8987e+005,5500,309.58,2.0231e+005,5500,321.4,2.7175e+005,5500,372.46,3.1143e+005,5500,289.59,1.8689e+005
5600,175.57,1.1021e+005,5600,222.96,1.1239e+005,5600,215.09,1.1456e+005,5600,227.31,1.9156e+005,5600,280.39,1.8853e+005,5600,297.07,1.9183e+005,5600,311.74,1.9371e+005,5600,310.35,2.0659e+005,5600,322.48,2.7774e+005,5600,373.63,3.1788e+005,5600,290.27,1.907e+005
5700,175.94,1.1229e+005,5700,223.35,1.1461e+005,5700,215.53,1.1703e+005,5700,228.05,1.9573e+005,5700,281.08,1.9244e+005,5700,297.75,1.9566e+005,5700,312.42,1.9755e+005,5700,311.11,2.1088e+005,5700,323.54,2.8374e+005,5700,374.77,3.2435e+005,5700,290.95,1.9452e+005
5800,176.31,1.1437e+005,5800,223.74,1.1682e+005,5800,215.97,1.1954e+005,5800,228.78,1.9992e+005,5800,281.76,1.9635e+005,5800,298.41,1.9949e+005,5800,313.08,2.0139e+005,5800,311.85,2.1517e+005,5800,324.58,2.8975e+005,5800,375.89,3.3082e+005,5800,291.62,1.9835e+005
5900,176.66,1.1644e+005,5900,224.12,1.1904e+005,5900,216.4,1.2206e+005,5900,229.5,2.0413e+005,5900,282.43,2.0027e+005,5900,299.07,2.0332e+005,5900,313.74,2.0523e+005,5900,312.59,2.1946e+005,5900,325.61,2.9577e+005,5900,377,3.373e+005,5900,292.27,2.0218e+005
6000,177.01,1.1852e+005,6000,224.49,1.2127e+005,6000,216.82,1.246e+005,6000,230.2,2.0835e+005,6000,283.09,2.0419e+005,6000,299.71,2.0716e+005,6000,314.39,2.0907e+005,6000,313.31,2.2376e+005,6000,326.62,3.018e+005,6000,378.1,3.4379e+005,6000,292.91,2.0601e+005
